"unique_key","bird","car_included","cat","country","date_from","date_range","date_to","dog","expired","first_seen","fish","horse","last_changed","listing_id","livestock","location","new_this_run","poultry","profile","public_transport","rabbit","reptile","reviewing","small_pets","title","town","url"
"100380|Nov 16, 2025→Dec 01, 2025",0,False,0,"United Kingdom","Nov 16, 2025","Nov 16, 2025→Dec 01, 2025","Dec 01, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-05-09T07:27:36.394074Z",100380.0,0,"Horley, United Kingdom",False,0,"europe",False,0,0,False,0,"Pet and house sitter for our two wonderful dogs in the Surrey countryside","Horley","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/horley/l/100380/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1007595|Nov 02, 2025→Nov 24, 2025",0,False,0,"United Kingdom","Nov 02, 2025","Nov 02, 2025→Nov 24, 2025","Nov 24, 2025",1,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-05-07T10:27:34.143681Z",1007595.0,0,"Royston, United Kingdom",False,0,"europe",False,0,0,False,0,"Taking care of our precious Freddie the Labrador","Royston","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/royston/l/1007595/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1007595|Nov 02, 2025→Nov 24, 2025",0,False,0,"United Kingdom","Nov 02, 2025","Nov 02, 2025→Nov 24, 2025","Nov 24, 2025",1,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-05-07T10:27:34.143681Z",1007595.0,0,"Royston, United Kingdom",False,0,"europe",False,0,0,False,0,"Taking care of our precious Freddie the Labrador","Royston","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/royston/l/1007595/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"102869|Nov 16, 2025→Nov 23, 2025",0,False,1,"United Kingdom","Nov 16, 2025","Nov 16, 2025→Nov 23, 2025","Nov 23, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-20T10:22:39.853143Z",102869.0,0,"Kirkby Malzeard, United Kingdom",False,0,"europe",False,0,0,False,0,"Country escape within easy drive to village and tourist attractions.","Kirkby Malzeard","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/kirkby-malzeard/l/102869/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"102869|Nov 16, 2025→Nov 23, 2025",0,False,1,"United Kingdom","Nov 16, 2025","Nov 16, 2025→Nov 23, 2025","Nov 23, 2025",2,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-04-20T10:22:39.853143Z",102869.0,0,"Kirkby Malzeard, United Kingdom",False,0,"europe",False,0,0,False,0,"Country escape within easy drive to village and tourist attractions.","Kirkby Malzeard","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/kirkby-malzeard/l/102869/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"104902|Nov 11, 2025→Nov 20, 2025",0,False,1,"United Kingdom","Nov 11, 2025","Nov 11, 2025→Nov 20, 2025","Nov 20, 2025",1,False,"2025-04-19T10:21:22.202382Z",0,0,"2025-04-23T17:57:04.598829Z",104902.0,0,"Barry, United Kingdom",False,0,"europe",False,0,0,False,0,"Experienced dog sitter needed for our 9 year old Kya.","Barry","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/wales/barry/l/104902/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"104902|Nov 11, 2025→Nov 20, 2025",0,False,1,"United Kingdom","Nov 11, 2025","Nov 11, 2025→Nov 20, 2025","Nov 20, 2025",1,False,"2025-04-20T10:10:31.487973Z",0,0,"2025-04-23T17:57:04.598829Z",104902.0,0,"Barry, United Kingdom",False,0,"europe",False,0,0,False,0,"Experienced dog sitter needed for our 9 year old Kya.","Barry","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/wales/barry/l/104902/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1072367|Nov 20, 2025→Nov 26, 2025",0,False,0,"United Kingdom","Nov 20, 2025","Nov 20, 2025→Nov 26, 2025","Nov 26, 2025",2,False,"2025-04-19T10:21:22.202382Z",0,2,"2025-04-27T20:26:09.036742Z",1072367.0,0,"Farnham, United Kingdom",False,0,"europe",False,0,0,False,0,"Country retreat in Surrey. Amazing walking to two local pubs, AONB.","Farnham","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/farnham/l/1072367/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE0LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"1072367|Nov 20, 2025→Nov 26, 2025",0,False,0,"United Kingdom","Nov 20, 2025","Nov 20, 2025→Nov 26, 2025","Nov 26, 2025",2,False,"2025-04-20T10:10:31.487973Z",0,2,"2025-04-27T20:26:09.036742Z",1072367.0,0,"Farnham, United Kingdom",False,0,"europe",False,0,0,False,0,"Country retreat in Surrey. Amazing walking to two local pubs, AONB.","Farnham","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/farnham/l/1072367/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjE1LCJyZXN1bHRzUGVyUGFnZSI6MTIsImRlYnVnIjpmYWxzZSwic3RhdHMiOltdfQ%3D%3D"
"107962|Nov 21, 2025→Dec 05, 2025",0,False,1,"United Kingdom","Nov 21, 2025","Nov 21, 2025→Dec 05, 2025","Dec 05, 2025",0,False,"2025-05-06T19:54:23.398163Z",0,0,"2025-05-06T19:54:23.398163Z",107962.0,0,"Selby, United Kingdom",False,0,"europe",False,0,0,False,0,"Sitter required in Yorkshire for loving cat, and comfortable home.","Selby","https://www.trustedhousesitters.com/house-and-pet-sitting-assignments/united-kingdom/england/selby/l/107962/?q=eyJmaWx0ZXJzIjp7ImFjdGl2ZU1lbWJlcnNoaXAiOnRydWUsImFzc2lnbm1lbnRzIjp7ImRhdGVGcm9tIjoiMjAyNS0xMS0wMSIsImRhdGVUbyI6IjIwMjUtMTItMjQiLCJyZXZpZXdpbmciOmZhbHNlLCJjb25maXJtZWQiOmZhbHNlfSwiZ2VvSGllcmFyY2h5Ijp7ImNvbnRpbmVudFNsdWciOiJldXJvcGUifX0sImZhY2V0cyI6W10sInNvcnQiOlt7InB1Ymxpc2hlZCI6ImRlc2MifV0sInBhZ2UiOjMsInJlc3VsdHNQZXJQYWdlIjoxMiwiZGVidWciOmZhbHNlLCJzdGF0cyI6W119"
